               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060507,            0.097221,            0.020639,             0.76672,             0.25481,             0.26538,             0.18361,             0.05815,             0.14255,            0.016954,            0.070011,           0.0033321,           0.0033321
                   1,            0.041838,             0.08213,           0.0092046,             0.75773,             0.28637,             0.31056,             0.21796,            0.055133,             0.15691,            0.014897,            0.039879,           0.0065334,           0.0065334
                   2,            0.036909,            0.077128,           0.0067806,             0.53886,             0.33975,             0.31427,             0.22171,            0.055576,             0.16302,            0.015085,           0.0096155,           0.0096028,           0.0096028
                   3,            0.032882,             0.07244,           0.0056239,             0.44199,             0.40869,             0.33346,             0.23939,            0.054188,              0.1681,             0.01565,            0.009406,            0.009406,            0.009406
                   4,            0.030161,            0.068415,            0.004812,             0.43364,             0.40577,             0.34011,             0.24652,            0.054755,             0.17193,            0.015666,            0.009406,            0.009406,            0.009406
                   5,            0.028787,            0.066044,           0.0043524,             0.42505,             0.41429,             0.34122,             0.24742,            0.054161,             0.17871,            0.016422,            0.009208,            0.009208,            0.009208
                   6,            0.027863,            0.064595,           0.0040733,              0.4346,             0.40245,             0.34178,             0.25028,            0.054266,             0.17849,            0.016335,             0.00901,             0.00901,             0.00901
                   7,            0.027261,            0.063439,           0.0038843,             0.45834,             0.36172,              0.3433,               0.252,            0.054859,             0.17759,            0.017159,            0.008812,            0.008812,            0.008812
                   8,            0.026812,            0.062703,           0.0037288,             0.49173,             0.34276,             0.34475,             0.25224,             0.05494,             0.18128,            0.017931,            0.008614,            0.008614,            0.008614
                   9,            0.026408,             0.06201,           0.0035955,             0.47037,             0.37103,             0.34566,             0.25295,             0.05496,             0.18221,            0.018505,            0.008416,            0.008416,            0.008416
                  10,            0.026053,            0.061177,           0.0035087,             0.46823,             0.37248,             0.34533,             0.25339,            0.054757,             0.18367,            0.018643,            0.008218,            0.008218,            0.008218
                  11,            0.025807,            0.060814,           0.0034272,             0.47344,             0.35953,             0.34445,             0.25311,            0.054589,             0.18362,            0.018894,             0.00802,             0.00802,             0.00802
                  12,            0.025527,            0.060376,           0.0033402,             0.49866,             0.34499,              0.3433,             0.25248,            0.054607,             0.18424,            0.019124,            0.007822,            0.007822,            0.007822
                  13,            0.025272,             0.05985,           0.0032972,             0.49963,             0.35201,              0.3443,             0.25342,            0.054564,              0.1843,            0.019108,            0.007624,            0.007624,            0.007624
                  14,            0.025037,            0.059458,           0.0032283,             0.49053,             0.35979,              0.3448,             0.25374,            0.054425,             0.18423,            0.019035,            0.007426,            0.007426,            0.007426
                  15,            0.024896,            0.059173,           0.0031685,             0.35784,             0.36677,             0.34541,             0.25422,            0.054379,              0.1841,            0.019015,            0.007228,            0.007228,            0.007228
                  16,            0.024698,            0.058753,           0.0031216,             0.36223,             0.36748,             0.34637,             0.25519,            0.054274,             0.18407,            0.019022,             0.00703,             0.00703,             0.00703
                  17,            0.024558,             0.05854,           0.0030997,              0.3688,              0.3647,             0.34714,             0.25574,            0.054233,             0.18406,            0.018957,            0.006832,            0.006832,            0.006832
                  18,            0.024348,            0.058108,           0.0030477,             0.37357,             0.36591,             0.34803,             0.25629,            0.054204,             0.18417,             0.01895,            0.006634,            0.006634,            0.006634
                  19,            0.024256,            0.058071,            0.003016,             0.38162,              0.3645,             0.34903,             0.25671,            0.054263,             0.18444,            0.018961,            0.006436,            0.006436,            0.006436
                  20,            0.024104,             0.05773,            0.002976,             0.38704,             0.36244,             0.34956,             0.25711,             0.05428,              0.1849,            0.019032,            0.006238,            0.006238,            0.006238
                  21,            0.023967,            0.057393,           0.0029424,             0.38919,             0.36113,             0.34949,             0.25701,            0.054283,             0.18549,            0.019081,             0.00604,             0.00604,             0.00604
                  22,            0.023756,            0.057062,           0.0028808,             0.39959,             0.35656,             0.34978,             0.25736,            0.054296,             0.18584,            0.019156,            0.005842,            0.005842,            0.005842
                  23,            0.023651,            0.056929,           0.0028558,             0.40179,             0.35801,             0.35018,             0.25759,            0.054281,             0.18634,            0.019254,            0.005644,            0.005644,            0.005644
                  24,            0.023521,            0.056701,           0.0028262,             0.40858,             0.35487,             0.35015,             0.25772,            0.054367,             0.18666,            0.019391,            0.005446,            0.005446,            0.005446
                  25,            0.023373,            0.056227,           0.0027912,             0.41072,             0.35669,             0.35027,             0.25773,            0.054393,             0.18706,            0.019497,            0.005248,            0.005248,            0.005248
                  26,            0.023252,             0.05603,           0.0027402,             0.38708,             0.37637,              0.3499,             0.25743,            0.054356,             0.18743,            0.019572,             0.00505,             0.00505,             0.00505
                  27,            0.023077,            0.055797,           0.0027169,             0.38372,              0.3795,             0.34953,             0.25732,            0.054407,             0.18778,            0.019744,            0.004852,            0.004852,            0.004852
                  28,            0.022993,             0.05555,           0.0026716,             0.38643,             0.37868,             0.34905,               0.257,            0.054455,             0.18803,            0.019917,            0.004654,            0.004654,            0.004654
